year,total,white,black,hispanic,asian,american_indian,native_hawaiian,two_or_more
2000,192131,164296,19037,4828,1443,810,52,1665
2001,195622,166320,19689,5249,1616,853,61,1834
2002,200701,169355,20661,5902,1773,881,61,2068
2003,205708,172707,21489,6424,1905,912,55,2216
2004,211405,176249,22652,7085,2077,931,59,2352
2005,217358,179642,23957,7940,2342,972,65,2440
2006,223133,183587,24691,8683,2675,993,63,2441
2007,226294,185031,25522,9332,2704,1019,63,2623
2008,229252,186518,26040,10009,2767,1031,64,2823
2009,231224,187527,26310,10395,2879,1034,73,3006
2010,234568,189369,26843,11063,2966,1069,68,3190
2011,236843,190440,27277,11601,3039,1066,83,3337
2012,239346,191729,27757,12054,3187,1068,86,3465
2013,242478,193347,28572,12547,3272,1075,85,3580
2014,245829,195319,28981,13238,3371,1093,87,3740
